# Generated with codec_test.py (time: 184min)

Tool versions:
+ mencoder 2:1.0~rc2-0ubuntu13
+ mkvmerge v2.0.2
+ mp4creator 1.6
+ mplayer 1.0rc2-4.2.3
+ ogmmerge v1.5
+ undvd 0.5.1

+------------+------------+------------+------------+
| container  | vcodec     | acodec     | status     |
| avi        | roqvideo   | ac3        | failed     |
| avi        | roqvideo   | flac       | failed     |
| avi        | roqvideo   | mp2        | failed     |
| avi        | roqvideo   | mp3        | failed     |
| avi        | roqvideo   | sonic      | failed     |
| avi        | roqvideo   | sonicls    | failed     |
| avi        | roqvideo   | vorbis     | failed     |
| avi        | roqvideo   | wmav1      | failed     |
| avi        | roqvideo   | wmav2      | failed     |
| avi        | rv10       | aac        | ok         |
| avi        | rv10       | ac3        | ok         |
| avi        | rv10       | flac       | ok         |
| avi        | rv10       | mp2        | ok         |
| avi        | rv10       | mp3        | ok         |
| avi        | rv10       | sonic      | ok         |
| avi        | rv10       | sonicls    | ok         |
| avi        | rv10       | vorbis     | ok         |
| avi        | rv10       | wmav1      | ok         |
| avi        | rv10       | wmav2      | ok         |
| avi        | svq1       | aac        | ok         |
| avi        | svq1       | ac3        | ok         |
| avi        | svq1       | flac       | ok         |
| avi        | svq1       | mp2        | ok         |
| avi        | svq1       | mp3        | ok         |
| avi        | svq1       | sonic      | ok         |
| avi        | svq1       | sonicls    | ok         |
| avi        | svq1       | vorbis     | ok         |
| avi        | svq1       | wmav1      | ok         |
| avi        | svq1       | wmav2      | ok         |
| avi        | wmv1       | aac        | ok         |
| avi        | wmv1       | ac3        | ok         |
| avi        | wmv1       | flac       | ok         |
| avi        | wmv1       | mp2        | ok         |
| avi        | wmv1       | mp3        | ok         |
| avi        | wmv1       | sonic      | ok         |
| avi        | wmv1       | sonicls    | ok         |
| avi        | wmv1       | vorbis     | ok         |
| avi        | wmv1       | wmav1      | ok         |
| avi        | wmv1       | wmav2      | ok         |
| avi        | wmv2       | aac        | ok         |
| avi        | wmv2       | ac3        | ok         |
| avi        | wmv2       | flac       | ok         |
| avi        | wmv2       | mp2        | ok         |
| avi        | wmv2       | mp3        | ok         |
| avi        | wmv2       | sonic      | ok         |
| avi        | wmv2       | sonicls    | ok         |
| avi        | wmv2       | vorbis     | ok         |
| avi        | wmv2       | wmav1      | ok         |
| avi        | wmv2       | wmav2      | ok         |
| avi        | xvid       | aac        | ok         |
| avi        | xvid       | ac3        | ok         |
| avi        | xvid       | flac       | ok         |
| avi        | xvid       | mp2        | ok         |
| avi        | xvid       | mp3        | ok         |
| avi        | xvid       | sonic      | ok         |
| avi        | xvid       | sonicls    | ok         |
| avi        | xvid       | vorbis     | ok         |
| avi        | xvid       | wmav1      | ok         |
| avi        | xvid       | wmav2      | ok         |
| flv        | asv1       | aac        | failed     |
| flv        | asv1       | ac3        | failed     |
| flv        | asv1       | flac       | failed     |
| flv        | asv1       | mp2        | failed     |
| flv        | asv1       | mp3        | failed     |
| flv        | asv1       | sonic      | failed     |
| flv        | asv1       | sonicls    | failed     |
| flv        | asv1       | vorbis     | failed     |
| flv        | asv1       | wmav1      | failed     |
| flv        | asv1       | wmav2      | failed     |
| flv        | asv2       | aac        | failed     |
| flv        | asv2       | ac3        | failed     |
| flv        | asv2       | flac       | failed     |
| flv        | asv2       | mp2        | failed     |
| flv        | asv2       | mp3        | failed     |
| flv        | asv2       | sonic      | failed     |
| flv        | asv2       | sonicls    | failed     |
| flv        | asv2       | vorbis     | failed     |
| flv        | asv2       | wmav1      | failed     |
| flv        | asv2       | wmav2      | failed     |
| flv        | dvvideo    | aac        | failed     |
| flv        | dvvideo    | ac3        | failed     |
